classification,text
Gadgets,BSD Now MP3 Feed
News & Politics,"Voted “Favorite Political Podcast” by Apple Podcasts listeners. Stephen Colbert says ""Everybody should listen to the Slate Political Gabfest."" The Gabfest, featuring Emily Bazelon, John Dickerson, and David Plotz, is the kind of informal and irreverent discussion Washington journalists have after hours over drinks."
Fashion & Beauty,Awesome images of awesome girls.
Higher Education,"La difusión de la música mexicana es un problema en la actualidad, por eso, cuatro estudiantes de diferentes licenciaturas de la Universidad de las Américas Puebla decidimos crear este blog, como recurso de acceso para todo aquél que quiera conocer un poco más de la cultura musical que existe en México."
Society & Culture,"A Very Fatal Murder sends Onion Public Radio (OPR) correspondent David Pascall from New York City to the sleepy town of Bluff Springs, Nebraska to investigate the mysterious death of a 17-year-old girl, Hayley Price. Hayley was a popular, smart animal lover, with a bright future ahead of her. Everyone in town knew her name, and now everyone in town is a suspect. Join David as he works to understand why the initial investigation of Hayley’s death failed, and how a very inquisitive and Pulitzer-hungry podcast host might shed new light on the case."
Outdoor,"The Orvis Fly Fishing Guide Podcast provides weekly tips  from acclaimed fly fishing author and lifelong fly fishing enthusiast, Tom Rosenbauer. Get the most from your time on the water!"
Self-Help,"IGNTD is an honest exploration of all things relationships. Dr. Adi and Sophie Jaffe go deep and explore topics that others shy away from. From intimacy and sex to cheating and trust all the way to death, drugs, spirituality, friendships, work, health, nutrition, wellness and success... they talk about it all!"
Aviation,"Discussions including skydiving disciplines, safety, news, and feature interviews with industry experts."
Automotive,"Join our experts at the Consumer Reports Test Track as they discuss cars, answer buying questions, and share insights on everything automotive."
Careers,"This show hosted by Vijay Peduru is about the amazing stories of world-class multi-millionaire and billionaire founders , how they started and how they succeeded. Founder Stories include the founders of Facebook(Mark), Linked-in(Reid), WhatsApp(Jan), Ben and Jerry Ice creams(the name says it), Instagram(Kevin),  Amazon(Jeff), Pandora(Tim),  Hershey Chocolates(Milton) and more.
You will hear their struggles and seemingly insurmountable problems and how they emerged victoriously,  so you too can succeed as a founder. Keep Rocking.. my friends."
History,"Director of the British Museum, Neil MacGregor, narrates 100 programmes that retell humanity's history through the objects we have made"
Christianity,"Homilies preached by Fr. Michael Schmitz, Chaplain for the University of Minnesota-Duluth Catholic Campus Ministry."
Social Sciences,"Each week Dr. Art Markman and Dr. Bob Duke explore different aspects of human behavior and the brain. In conversations hosted by producer Rebecca McInroy, the two renowned UT psychologists cover everything from the effects of sugar on the brain, to what's happening in our minds while we sleep, and much, much more.   Produced by KUT Radio, a service of the Moody College of Communication at the University of Texas at Austin."
News & Politics,"Jason Kander is an army veteran from Kansas City, Missouri and the first millennial elected to statewide office in the United States. He's traveling the country to help the 54% of us who didn't vote for Donald Trump talk to those of us who did about the most divisive issues in our country. "
Automotive,"Over 40 years repairing cars and over 27 years on the radio, Ron Ananian can help you fix just about any car on the road.  Join The Car Doctor Nation!"
Social Sciences,"Why has the world gone insane? In the Neolib Podcast, we talk with the Economists, academics, industry leaders and others whose ideas can help us get back on track."
Automotive,"Learn how to ride a motorcycle: How do I reduce my risks? How should I handle disapproving family and friends? What is counter steering? Is a Harley Davidson a good first motorcycle? Why do I have this fear when I ride? Am I too old to start riding? Do loud pipes save lives? Join the Motorcycle Mentor Podcast as we answer these questions and more. At 40, I found two motorcycle mentors that guided me. Now you don't have to learn how to ride a motorcycle alone."
Music,"Musician, former television host, and podcaster Jamey Jasta (Hatebreed, Kingdom of Sorrow, Jasta and the former host of MTV's Headbanger's Ball) interviews your heroes every Monday and Thursday. The newest 15 episodes are always free, but if you want access to all the archives, watch live, chat live, access to the forums, and get the show a week before it comes out everywhere else - you can subscribe now at gasdigitalnetwork.com and use the code JASTA to save 15% on the entire network."
Non-Profit,"The End Trafficking project is UNICEF USA's initiative to raise awareness about child trafficking and mobilize communities to take meaningful action to help protect children. In partnership with concerned individuals and groups, the End Trafficking project aims to bring us all closer to a day when there are no exploited children. By the end of each episode you will be informed of various child trafficking issues and have specific tools to take action. For more information, please contact endtrafficking@unicefusa.org"
Sexuality,"New York City's favorite OBGYN answers the women's health questions most are too shy to ask, separating fact from fiction. Send your sex, relationship, and phobia questions to questions@yourvlife.com. New episodes every Tuesday."
Society & Culture,Criminology is a true crime podcast that takes a deep dive into some of the most famous cases in the annals of crime. Hosts Mike Ferguson and Mike Morford will give you every details of these infamous crimes. Each season is a new case told over 8-10 episodes.
Society & Culture,"The universe has good news for the lost, lonely and heartsick. The Sugars are here, speaking straight into your ears. Hosted by the original Sugars, Cheryl Strayed and Steve Almond, the podcast fields all your questions — no matter how deep or dark — and offers radical empathy in return. Send your letters to dearsugars@nytimes.com."
Aviation,"Let's talk aviation! On this podcast, it will be all #AvGeekery as we talk about the airline industry and other aviation stuff."
Training,"Whether you have been keeping chickens for years or you are just thinking about getting started; have a big flock out in the country or just a few urban chickens in the city; chicken tenders Don &amp;amp;amp;amp;amp;amp;amp;amp; Suzy share their knowledge, experience and opinions to help you get the most out of your backyard chicken flock."
News & Politics,"Hosted by Ben Domenech, The Federalist Radio Hour is a daily podcast featuring engaging and in-depth conversations with journalists, scholars, authors, politicians, and thinkers of all stripes. Along with guest hosts Mollie Hemingway, David Harsanyi, and Mary Katharine Ham, Domenech delivers smart and compelling dialogues on politics, culture, religion, and entertainment every day of the week. Support the show by subscribing, rating, and writing a review!"
Investing,The podcast show that teaches you how to build a successful startup. Listen to fascinating interviews with industry leaders and learn how they did it. Hosted by William Channer. Visit the site: http://drt.fm. To get in touch email: william@drt.fm. Follow the show on Twitter: @dormroomtycoon
Self-Help,"Founder of Onnit, and modern philosopher Aubrey Marcus asks the important questions:  How do we find our purpose, wake up to who we truly are, have a few more laughs, and human being a little better?  The Aubrey Marcus Podcast brings in world class guests from the fields of athletics, health, business, fitness, science, relationship and spirituality, and asks them to open up about the failures and successes that define their wisdom and character.  Follow me on social @AubreyMarcus to keep up with the latest, and meet many of the incredible guests we’ve been honored to have on the show."
Performing,"Have you ever wondered why people do horrible things to one another?  What could drive a man to hurt, harm, or even kill? 

Finally, we may have an answer. Follow along as, each week, we feature the recorded diary entries of someone known only as ""the madman."" 

Get inside his head and get twisted."
Automotive,"The MINI Video Podcast is your source for all the latest and greatest MINI videos, and the place to get on board with the thousands of subscribers who follow the latest and greatest in creative connections from MINI. minispace.com/imprint"
Performing,"We're Jimi (@asinhendrix) and Tommy (@MusicalMash) and we're obsessed with musical theatre. Like, really, we won't shut up about it. And now YOU get to listen, too! If you're looking for two diehard musical theatre nerds babbling on about Sondheim, then this is the podcast for you!"
Places & Travel,"Highlighting Points, Parks, Perks and all things Disney Vacation Club. We cover Walt Disney World, Disneyland and more and will help you get the most out of your Membership. Hosted by Terry Weaver (of WDW Today) and  Joel Reynolds. 

Top of the World is a production of Laugh-O-Gram Studios."
Aviation,What does it take to master flying and become an airline pilot?  Join me on my journey from private pilot to commercial airline pilot through the wonders of an accelerated flight school.
Society & Culture,"Modern Love features top actors performing true stories of love, loss, and redemption. It has included performances by Kate Winslet, Uma Thurman, Angela Bassett, Jake Gyllenhaal, Sterling K. Brown, and more. A collaboration between WBUR and The New York Times."
Science & Medicine ,"Get your science on with the new podcast from the Union of Concerned Scientists. Our hosts take on technology, attacks on science, climate change, and more, as they channel the power of science to make the world a better place."
Hobbies,"Two men with a pile of useless knowledge, hosts Jason Lenzi and Brain Heiler humorously  travel back through time to discuss pop culture, toy collecting, fandom, UHF TV,  childhood, schoolyard rumours, humiliation and shame, oh the shame...."
News & Politics,"Download and watch full episodes of Real Time with Bill Maher including his New Rules and Overtime segments with his guest panelists. New episodes of Real Time with Bill Maher air Fridays at 10, only on HBO."
Design,"One Idea. One Minute. One Voice. Just as certain ideas fit into an essay and others are more suited to a tweet, we believe that 60 seconds of a singular voice is a powerful format for new, uncluttered insight. "
Natural Sciences,"Plants are everything. They are also incredibly interesting. From the smallest duckweed to the tallest redwood, the botanical world is full of wonder. Join my friends and I for a podcast celebrating everything botany."
Food,"Good Bite is obsessed with our “delicious made easy” mission. We feature America’s leading food bloggers and famous faces from the food world who share definitive recipes and cooking inspiration. Our rotating cast of contributors includes Aarti Sequiera, who’s currently competing in The Next Food Network Star; cookbook author and star blogger David Lebovitz; and entertaining superstar Sandra Lee, who offers up seasonal cocktails and chic entertaining tips."
Sports & Recreation,"""I am a bowhunting athlete, training intensively each and every day to become the Ultimate Predator."" - Cameron Hanes"
TV & Film,"Film critics Devin Faraci (BIRTH. MOVIES. DEATH.) and Amy Nicholson (MTV News) have a weekly conversation about if a film is worthy to enter the Canon. They will put it up to fan vote at the end of the show, and the legacy of each movie will be officially decided forevermore. [This show is currently on hiatus]. Looking for the archives? All episodes older than 6 months can be found exclusively on Howl.FM, ad-free. Use promo code ‘Earwolf’ for a 30-day free trial."
Social Sciences,"This course introduces students to concepts regarding the professional functioning of counselors and marriage and family therapists, including history, roles, professional organizations, ethics, legalities, standards, and credentialing. Current issues in the practice of counseling and marriage and family therapy in a variety of professional settings are explored."
Language Courses,"Splendid Speaking supports advanced learners of English who want to develop their top-level speaking skills and communication strategies. Each podcast features a recording of non-native speakers of English carrying out short tasks individually or in pairs such as making presentations or taking part in discussions. Each recording contains expert feedback on the speaker's performance. Also, visit the Splendid Speaking website at splendidspeaking.com to subscribe to our newsletter which gives automatic access to transcripts of all podcasts. Students studying for IELTS, TOEFL, TOEIC, Cambridge CAE, CPE or BEC will find these recordings useful in preparation for their Speaking exam. We also publish a weekly task sheet giving you the chance to try a similar task and a daily quiz consisting of three colloquial expressions."
Sports & Recreation,A varied collection of podcasts from ESPN.
Comedy,"King Falls AM centers on a lonely little mountain town's late-night AM talk radio show and its paranormal, peculiar happenings and inhabitants.
New shows available the 1st and 15th of every month! Be sure to start from Sammy's first show (May 1st, 2015) to stay up to date with all your King Falls favorites."
Management & Marketing,"Achieve Your Goals with Hal Elrod is a weekly podcast dedicated to empowering and equipping you with practical advice and strategies to achieve your goals and dreams. 

If you are looking for help with achieving your goals in any (or EVERY) area of your life, Hal will give you the inspiration, motivation, and action plan to take yourself and your life to the next level. Subscribe to the podcast and get a new episode every Wednesday."
Shopping,"Linda McAuley champions the cause of consumers in Northern Ireland, from welfare rights to health education and the law"
Design,"The iFanboy.com: Don't Miss Podcast is your quick 15 minutes with the top creators in comic books telling you all about their new comics coming out on Wednesday.  Curious about a new book? Not sure if you're going to buy it? Who better to hear from than the creative team behind the comic?  iFanboy connects you with the creators you love to read, gathering writers and artists to tell you all about their comic books. No trip to comic shop will be complete without listening to iFanboy: Don't Miss!"
Comedy,"""WHOREible decisions has quietly become one of the hottest.... raciest, rawest podcasts on the internet"" -VICE.com

""What it’s like to suck a d**k from the back. How it feels to have two c**ks in your p***y. The pros and cons of “paying for penis.” These are some of the more tepid topics that were touched on the first time I tuned into the Whoreible Decisions podcast."" Wilbert Cooper - VICE

Tune in for a new episode every Monday, hosts Mandii B & WeezyWTF sit down and discuss with an array of guests such as: Couples, Doctors, Pornstars, Doms, Subs, Activists, Celebs, and more about their sex lives and craziest kinks!!!

Brought to you by the Loudspeakers Network"
Food,"Taste Matters, plain and simple. Join host Mitchell Davis, Vice President of the James Beard Foundation, cookbook author, restaurant reviewer, and food scholar, on a journey of exploration of the sense, the cultural construct, and the culinary phenomenon of taste. However much we talk about where our food comes from, how it is produced, who prepares it, or what sorts of socio-cultural-political implications our food choices and eating behaviors have, taste is fundamental. And matters of taste aren’t just the purview of the privileged. We’ll examine personal tastes and collective tastes, biological tastes and acquired tastes, good tastes and bad tastes. We believe that everyone’s food should taste good and that all food can probably taste better. Join us for a delicious half hour program live every Wednesday at 11:00AM ET."
Training,"Leaders Inspire Leaders, a podcast for Millennials, helping you to unlock your possibilities, increase your sense of community, and find your purpose? Join your host Koy McDermott as he speaks with influential entrepreneurial leaders who were not afraid to look within to reach their full potential. Tune in as they share their inspirational journey that will guide you to awaken the entrepreneurial leader within you. 
As iron sharpens iron, leaders inspire leaders. 

For more check out leadersinspireleaders.com, follow on Twitter @leadersinspire and like our Facebook page https://www.facebook.com/leadersinspireleaders."
Literature,"The Harvard Press Podcast brings you interviews with the authors of books currently being published by Harvard University Press. Chris Gondek talks with the authors about their books, their influences and their interests."
Natural Sciences,Two paleontologists-turned-science-communicators chatting about the diversity of life: past and present!
Comedy,"Howard Kremer and Natasha Leggero bring on some of your favorite comedians to discuss the top 5 songs and movies of the week. Plus, Howard, the guests and Who Charted crew each bring a new song that they recommend over all the garbage on the charts. Looking for the archives? All episodes older than 6 months can be found exclusively on Stitcher Premium, ad-free. Go to stitcher.com/premium and use promo code EARWOLF for 1 month free (and $5 off the annual plan!)"
Gadgets,"Youtuber Christopher Lawley and iPad Blogger Jeff Perry sit down every other week to discuss the iPad, iOS, and how you can make your iPad work for you."
Design,"Kelly from Hello World Paper Co. & Stamps and Caroline from Caroline Creates are two product based biz owners who want to connect with and help other product based business owners. The product based business world is shrouded in mystery... why? Why is it so easy to get information about starting a service based business, but when you ask people questions about their product based business they run and hide. That's dumb. When we lift each other up we not only help someone else's business, we learn things along the way, and we help the industry grow! There is plenty of room for everyone! So come and join us as we help you filter through the crap to help you totally rock your product based business! After all, creativity is the ultimate rebellion!"
Gadgets,"Get help using iPhone, iPad, Apple Watch, Apple TV, Apps and other Apple related products. Our goal is to educate & entertain you with a quality show. Contact us and be apart of the show!  check us out http://itsappletime.com
Follow us on Facebook at https://www.facebook.com/TNERDTAppleTime
Follow Chris on twitter and or Instagram @ ChrisJGray7"
Outdoor,"The Forward Podcast with Lance Armstrong gives the audience a rare and revealing listen into Armstrong's conversations with an eclectic range of personalities—some well-known, others simply with intriguing stories to tell. Guests, which hail from the worlds of politics, entertainment, art, business, sport and beyond, have included Malcolm Gladwell, Neil deGrasse Tyson, Chris Evert and the Avett Brothers. The Forward often touches on the theme, or concept, from which the podcast’s name is drawn—pressing onward in the face of adversity or challenge, and seizing the opportunity to continually grow from experience. Above all, The Forward Podcast is a personal, honest, engaging and always entertaining dialogue that leaves the listener with new insights and perspective."
Business News,"Denise Duffield-Thomas is a coach and motivational speaker who helps exceptional women create outrageous success. Her book ""Lucky Bitch"" is a practical and fun take on the law of attraction and what it really takes to manifest your wildest dreams."
Music,"A weekly programme of ambient and atmospheric music from across the ages and around the world, heard on Australian public radio since 1989. Ultima Thule weaves a mix of ambient, trance, drone and chillout electronica, spacemusic, ancient, mediaeval and neoclassical creations, traditional and world music, soundtracks, cool jazz and impressionist soundworks into an exquisite, chatter-free 90-minute musical narrative."
Training,"Join award-winning real estate coaches Tim & Julie Harris every weekday for industry news, coaching advice, and interviews with real estate leaders."
Shopping,Sell more on marketplaces like Amazon and eBay. Marketplaces like Amazon and eBay are set to own 40% of ALL online retail by 2020. Join Alex Ogilvie of Seller Dynamics to find out how you can take advantage of the global sales reach of marketplaces.
History,"gone cold podcast - texas true crime explores unsolved homicides and missing persons cases throughout the state of Texas, providing the victims and their families with a voice."
Shopping,"Which type of home office chair will suit you and your work area? Ergonomic chairs, Mesh office chairs and Leather executive types are popular. Swivel type office seating and fully adjustable chairs may be on your mind. This guide will help you choose."
Hobbies,"This Birding Life (Enhanced Format). This Birding Life is a podcast from the folks at Bird Watcher’s Digest. And like the magazine’s content, the topics covered by This Birding Life range far and wide -- from the backyard to the tropics, from bird feeding to bird chasing, from authors reading from their books to birders talking about their ""spark"" bird. This Birding Life is guaranteed to make you think, laugh, and want to spend more time out there with the birds. It’s all about this wonderful hobby we share: watching and enjoying wild birds. Welcome to This Birding Life! Look for our Podcast in the iTunes Music Store."
National,"An irreverent but useful podcast about disaster response, emergency management, mobilization culture, community resilience, and life in emergency operations."
Shopping,"Government Compliance is where you'll hear hot topics about Equal Employment Opportunity, Affirmative Action Planning, and Office of Federal Contract Compliance Programs."
Medicine,"This is the BEST dental hygiene podcast out there! You will get up to date information with some real life application. Michelle and Andrew are exactly where you are, hygienists looking to get better! We may not be experts, but we will do our best to get them on the show! Please rate and review us on iTunes and enjoy the show!"
Sexuality,"Mike and Kyle discuss gay stereotypes they do and don't fit into. Grab a glass of rose, throw out your gay assumptions, and get ready to find out how two gay guys are really a mixture of gay and straight."
Business News,Dispensing Cannabis business knowledge beyond a million square feet of cultivation space. Blunt Business will navigate the challenges and opportunities of one of the most profitable industries on earth. Join us each episode to hear our weekly round tables and interviews with industry professionals.
Philosophy,"Hobby Farming, Soap Making, Beekeeping, and more"
Fashion & Beauty,"Just two sisters doing our thing!  Join us as we have ""real"" conversations about everything from the perceptions and attitudes that black women and the community have about natural hair - both positive and negative, to natural haircare tips and strategies from A thru Z.  
Show us some love and leave a review on iTunes if you like our podcast, then check out our blog - NaturalHairCareNews.com"
Health,"Dr. Eric Berg DC, age 52 describes the truth about getting healthy and losing healthy weight. His area of expertise is in the subject of the Ketogenic diet, Intermittent Fasting, weight loss and overall body health. He is the director of Dr. Berg's Nutritionals and author of the best selling amazon.com book, The 7 Principles of Fat Burning. He has conducted over 4800 seminars on health related topics. Dr. Berg’s YouTube and Facebook channels have over 1 million followed combined and has generated over 150 million views. He is relentlessly on a mission to educate the world on these subject"
History,A skeptical look at conspiracy theories. Site: www.yrad.com/cs
Hobbies,"RPGMP3 is the great great granddaddy of Actual Play Gaming. We were one of the first gaming sites to publish a podcast via iTunes and have a history of being a friendly and inclusive place to talk about gaming and geek related topics of all kinds.



RGPMP3 has been recording and podcasting tabletop games since 2003. We have assaulted the ear holes of the unwary with all kinds of gaming awesomeness, from mainstream DnD and Pathfinder to indie games like The Mountain Witch and Pirates of the Spanish Main to homebrew systems and settings.



We also provide a place for contributor groups to display their own tabletop game recordings getting an instant audience and allowing the site to present more content to listeners. We run our own server allowing us a great deal of control over how our content is delivered and consumed."
Society & Culture,"The Peabody Award-winning Studio 360 with Kurt Andersen, from PRI, is a smart and surprising guide to what's happening in pop culture and the arts. Each week, Kurt introduces the people who are creating and shaping our culture. Life is busy – so let Studio 360 steer you to the must-see movie this weekend, the next book for your nightstand, or the song that will change your life. Produced in association with Slate."
Performing,"BREAKERS is Shepherd Grey’s account of what life looks like after organized civilization crumbles as he and his faithful canine companion, Rommel, venture out from their home in Virginia to try and count themselves among the survivors.

It has been several years since the outbreak began. The virus is just a sick and twisted part of life now. You test as much as you can, but there is no “preventing” it, only staying alive until you catch it. “Red you’re dead” is a phrase all too commonly heard throughout the world. 

You have your Gunslingers, your criers, your survivors, and your breakers... If you don’t fit into those categories, your are among the dead."
Comedy,Two guys from New Jersey just hanging out.
Gadgets,"Home: On is a show focused on home control and home automation topics for the enthusiast and do-it-yourself communities. We run through industry news, take a closer look at interesting products, share project ideas, and present topics for information and education. Host Richard Gunther is joined by a rotation of co-hosts and guests from the space, including industry experts, consumers, and company representatives."
Higher Education,"On successful completion of the course, students will be able to:· recognize, write and correctly pronounce the Arabic alphabet as well as understand the diacritic marks
		(al-harakaat) that affect the pronunciation of certain vowels and consonants · acquire a basic vocabulary · understand and ask simple questions · communicate in Arabic about simple familiar
		subjects · use greetings· introduce themselves: family and background, interests · read short texts and write simple texts about familiar topics · recognize simple grammatical constructions
		and use them"
Self-Help,"Today's most successful leaders share their incredible stories and life lessons to help you get the life you want in the areas of health, wealth, relationships and personal growth. Every show is jam packed with actionable tips and insights that will propel you forward to become the man you want to become. Join us at knowledgeformen.com for recaps of every interview as well as an incredible gold mine of resources to help you live better. Prepare to become the most powerful version of yourself!"
Self-Help,"This is a podcast dedicated to answering your questions about mental health, anxiety, depression, relationships, sex, and life WITHOUT psychobabble BS. I am Dr. Robert Duff, a psychologist from Southern California, but I'm also a regular dude who legitimately wants to help out. I wrote the best selling books Hardcore Self Help: F**k Depression and Hardcore Self Help: F**K Anxiety. Those are available at http://hardcoreselfhelp.com"
Business News,"Kevin Rose interviews cryptocurrency builders and experts. Learn more about Bitcoin, Ethereum, Ripple and other new decentralized technologies. Time Magazine calls Kevin one of the ""Top 25 Most Influential People on the Web,"" and Bloomberg lists him as a ""Top 25 Angel Investor."" Kevin has appeared on the Jimmy Fallon Show, Charlie Rose Show, as well as the covers of Businessweek and Inc. Magazine."
Places & Travel,"The future award-winning podcast from the award-winning Las Vegas blogger who brings you all the Las Vegas news, unfounded rumors and WTF you can possibly stomach."
Language Courses,"シチュエーション別英会話。
できるだけ楽しく、そして効率的に英会話をマスターしたいと願っている方たちをサ
ポートする、イングリッシュ・カルチャー・プログラムです。英会話が少しでもうま
くなりたいと思っている方なら、どなたでも大歓迎！全くの初心者でも大丈夫です。
素敵な講師と一緒に、もっともっと気楽に英会話を楽しんでみましょう。"
Self-Help,"Get all the inside secrets and tools you need to help you bust through your fears, connect to your soul and get focused and clear so you can elevate your life, business and relationships… Listen in as Lori Harder, founder of the Bliss Project, 3X time fitness world champion, fitness expert and cover model, turned self love junkie -  lifestyle entrepreneur and author digs in shares the goods!  Each episode is designed to give you the tools, ideas, and inspiration to take action in your life.  Tune in for an inspirational guest, a story or a ""quickie"" of motivation to get you out of a funk or blast you even further on your rockstar journey!   Stop waiting until you are happy and go out and earn it!   I promise to make sure we have some fun along the way - you can't take this life too serious.  It's time to fall in love with the process and take back your control! Oh and please make sure to share the episodes that give you goosebumps and leave us a review!"
Training,Learning a new ultrasound technique or procedure can be challenging. SonoSite recognizes the importance of training and education to support your learning needs. You will find a variety of learning tools and regional workshops specifically designed to facilitate your education goals.
Fitness & Nutrition,2 Keto Dudes is all about the Ketogenic lifestyle. Science. Recipes. Stories. Join Carl Franklin and Richard Morris on their continuing journey from metabolic syndrome and type 2 diabetes to wellness.
Automotive,"Matt Covert of Racers HQ shares everything he knows about autocross, auto racing, stunt driving, vehicle dynamics, and race driving techniques and strategies so you can get your career started the right way. Driver skill, vehicle tuning, and the winning motorsport lifestyle are all crucial topics when striving to launch a racing career on a budget. Matt’s knowledge of the driving world has allowed him to become a professional stunt driver for film/television/live entertainment and a successful amateur racing driver. Tap into your creative entrepreneur spirit and start living the life you love. Learn about weight transfer, slip angles, neutral steer, sponsorship, motorsport business, and everything else that will make you a winning driver."
Self-Help,"Joe is a 30-year veteran standup comedian who has been on The Late Show with David Letterman, The Late Late Show on CBS multiple times, his own 1/2 Hour Special on Comedy Central, been a regular comedian on the Chelsea Lately Round Table, received a standing ovation from all 4 celebrity judges and the 2,000 audience members on Americas Got Talent, and has two 1-hour specials “Medicated” and  recently recorded The Poster's Wrong in his hometown of Philadelphia... Well South Jersey just over the Walt Whitman Bridge is where he's really from, but he did record the Special in Philadelphia. His Website is http://Joematarese.com.  Joe's podcast is much like a journal as Joe discusses everything he did that week and anything else he has thoughts about that is going on that week. 

Along with this new podcast What's Going On This Week With Joe Matarese, Joe also does a podcast called Standup Lie Down with Dr Keith Ablow.  On that podcast they analyze a different comedian on every episode off of what standup clips they play that connect with the guest's issues. Check that podcast out on Http://www.Standupliedown.com or anywhere else you listen to podcasts."
Performing,"An infinite Universe with infinite dark stories, this is Dark Matter, an anthology of original science fiction audio from the darkness of space. Brought to you by Darker Projects www.darkerprojects.com"
National,برنامج سياسي حواري يناقش مستجدات الأحداث في العالم العربي بمشاركة سياسيين ومختصين ألمان وعرب يتبادلون الخبرات ووجهات النظر حول القضايا الراهنة.
Personal Journals,Cockroaches. Clean freaks. Cardboard pianos. Written Inside is a podcast about life inside a maximum-security prison cell.
Sexuality,"Sex Ed with DB is an intersectional, feminist, Bay-Area based podcast for folks who want to hear real stories from underrepresented voices as we try to revolutionize the way we talk about sex!"
Shopping,Not Found
Shopping,"Chaque dimanche, retrouvez avec ""C'est ma maison"" l'actualité du secteur immobilier, que vous soyez propriétaire ou locataire."
Careers,"Speeches, job interviews, deal-closing pitches... do you know the best way to handle yourself in the spotlight? “Steal the Show” offers a fast track to the skillset that will enable you to engage your listeners, manage your nerves, and give your message maximum impact in every situation, every time. Your host Michael Port is a New York Times bestselling author of 6 books, including Book Yourself Solid and Steal the Show, a top-rated corporate speaker, and former professional actor, having guest starred on shows like SEX & THE CITY, LAW & ORDER, Third Watch and many others. Music by: Shammy Dee."
Automotive,"Corvette Racing news, video, and pictures taken at live events."
Natural Sciences,"You have up to ten times as many microbial cells in and on your body as you have human cells.  Discover how the cells that make up our microbiome can impact everything from mood, weight, sleep patterns, allergies and more."
TV & Film,"Join host and superfan McKenzie Atwood every week for an all-access tour inside Steven Universe! Meet the cast, crew and characters themselves as McKenzie goes one-on-one in exclusive interviews with the creative team who inhabit Steven Universe."
Science & Medicine ,"Video and audio podcasts from NASA's Jet Propulsion Laboratory feature the latest news on space and science findings from JPL and NASA. Topics include discoveries made by spacecraft studying planets in our solar system, including Mars, Saturn and our home planet, Earth. Missions also study stars and galaxies in our universe. Other topics cover tips for amateur astronomers and updates from the Mars Rover and Cassini missions."
History,"The Dangerous History Podcast covers the history that the Establishment would rather you NOT know, helping you learn the past so you can understand the present and prepare for the future."
Language Courses,Join us to learn Hindi.
Aviation,"Follow Bill as he progresses through his flight training. This is the audio only feed. The audio podcasts are NOT the same content as the video podcasts, so if you want all the content, please subscribe to both.  The audio feed is more tied to the student experience, in cockpit training, with a few features and special events.  The video feed includes in-cockpit video sometimes, but is more feature oriented and does not typically coincide as closely with the training."
